,setting,year,indicator_abbr,indicator_name,Avg estimate,Funding Agency Acronym,Constant Dollar Amount
561,Ecuador,2020,u5mr,Under-five mortality rate,-1.25,STATE,74195003.0
562,Ecuador,2020,u5mr,Under-five mortality rate,-1.25,TDA,597314.0
563,Ecuador,2020,u5mr,Under-five mortality rate,-1.25,TREAS,1879283.0
564,Ecuador,2020,u5mr,Under-five mortality rate,-1.25,USAID,61535430.0
565,El Salvador,2002,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,DOL,5614035.0
566,El Salvador,2002,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,HHS,421053.0
567,El Salvador,2002,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,IAF,2599019.0
568,El Salvador,2002,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,PC,3456842.0
569,El Salvador,2002,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,STATE,205082.0
570,El Salvador,2002,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,TDA,411228.0
571,El Salvador,2002,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,USAID,166544221.0
572,El Salvador,2002,life_ex,Life Expectancy,73.9,DOL,5614035.0
573,El Salvador,2002,life_ex,Life Expectancy,73.9,HHS,421053.0
574,El Salvador,2002,life_ex,Life Expectancy,73.9,IAF,2599019.0
575,El Salvador,2002,life_ex,Life Expectancy,73.9,PC,3456842.0
576,El Salvador,2002,life_ex,Life Expectancy,73.9,STATE,205082.0
577,El Salvador,2002,life_ex,Life Expectancy,73.9,TDA,411228.0
578,El Salvador,2002,life_ex,Life Expectancy,73.9,USAID,166544221.0
579,El Salvador,2002,obesitya,Obesity prevalence among adults (%),-14.5,DOL,5614035.0
580,El Salvador,2002,obesitya,Obesity prevalence among adults (%),-14.5,HHS,421053.0
581,El Salvador,2002,obesitya,Obesity prevalence among adults (%),-14.5,IAF,2599019.0
582,El Salvador,2002,obesitya,Obesity prevalence among adults (%),-14.5,PC,3456842.0
583,El Salvador,2002,obesitya,Obesity prevalence among adults (%),-14.5,STATE,205082.0
584,El Salvador,2002,obesitya,Obesity prevalence among adults (%),-14.5,TDA,411228.0
585,El Salvador,2002,obesitya,Obesity prevalence among adults (%),-14.5,USAID,166544221.0
586,El Salvador,2002,u5mr,Under-five mortality rate,-2.95,DOL,5614035.0
587,El Salvador,2002,u5mr,Under-five mortality rate,-2.95,HHS,421053.0
588,El Salvador,2002,u5mr,Under-five mortality rate,-2.95,IAF,2599019.0
589,El Salvador,2002,u5mr,Under-five mortality rate,-2.95,PC,3456842.0
590,El Salvador,2002,u5mr,Under-five mortality rate,-2.95,STATE,205082.0
591,El Salvador,2002,u5mr,Under-five mortality rate,-2.95,TDA,411228.0
592,El Salvador,2002,u5mr,Under-five mortality rate,-2.95,USAID,166544221.0
593,El Salvador,2003,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,AGR,13438420.0
594,El Salvador,2003,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,HHS,620262.0
595,El Salvador,2003,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,IAF,1401296.0
596,El Salvador,2003,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,PC,3399035.0
597,El Salvador,2003,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,STATE,68918.0
598,El Salvador,2003,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,TDA,41351.0
599,El Salvador,2003,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,USAID,101552234.0
600,El Salvador,2003,life_ex,Life Expectancy,73.6,AGR,13438420.0
601,El Salvador,2003,life_ex,Life Expectancy,73.6,HHS,620262.0
602,El Salvador,2003,life_ex,Life Expectancy,73.6,IAF,1401296.0
603,El Salvador,2003,life_ex,Life Expectancy,73.6,PC,3399035.0
604,El Salvador,2003,life_ex,Life Expectancy,73.6,STATE,68918.0
605,El Salvador,2003,life_ex,Life Expectancy,73.6,TDA,41351.0
606,El Salvador,2003,life_ex,Life Expectancy,73.6,USAID,101552234.0
607,El Salvador,2003,obesitya,Obesity prevalence among adults (%),-15.5,AGR,13438420.0
608,El Salvador,2003,obesitya,Obesity prevalence among adults (%),-15.5,HHS,620262.0
609,El Salvador,2003,obesitya,Obesity prevalence among adults (%),-15.5,IAF,1401296.0
610,El Salvador,2003,obesitya,Obesity prevalence among adults (%),-15.5,PC,3399035.0
611,El Salvador,2003,obesitya,Obesity prevalence among adults (%),-15.5,STATE,68918.0
612,El Salvador,2003,obesitya,Obesity prevalence among adults (%),-15.5,TDA,41351.0
613,El Salvador,2003,obesitya,Obesity prevalence among adults (%),-15.5,USAID,101552234.0
614,El Salvador,2003,u5mr,Under-five mortality rate,-2.8,AGR,13438420.0
615,El Salvador,2003,u5mr,Under-five mortality rate,-2.8,HHS,620262.0
616,El Salvador,2003,u5mr,Under-five mortality rate,-2.8,IAF,1401296.0
617,El Salvador,2003,u5mr,Under-five mortality rate,-2.8,PC,3399035.0
618,El Salvador,2003,u5mr,Under-five mortality rate,-2.8,STATE,68918.0
619,El Salvador,2003,u5mr,Under-five mortality rate,-2.8,TDA,41351.0
620,El Salvador,2003,u5mr,Under-five mortality rate,-2.8,USAID,101552234.0
621,El Salvador,2004,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,AGR,16663384.0
622,El Salvador,2004,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,HHS,605734.0
623,El Salvador,2004,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,IAF,197019.0
624,El Salvador,2004,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,PC,2904832.0
625,El Salvador,2004,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,STATE,398473.0
626,El Salvador,2004,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,TDA,975538.0
627,El Salvador,2004,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,TREAS,201911.0
628,El Salvador,2004,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.5,USAID,62736945.0
629,El Salvador,2004,life_ex,Life Expectancy,73.6,AGR,16663384.0
630,El Salvador,2004,life_ex,Life Expectancy,73.6,HHS,605734.0
631,El Salvador,2004,life_ex,Life Expectancy,73.6,IAF,197019.0
632,El Salvador,2004,life_ex,Life Expectancy,73.6,PC,2904832.0
633,El Salvador,2004,life_ex,Life Expectancy,73.6,STATE,398473.0
634,El Salvador,2004,life_ex,Life Expectancy,73.6,TDA,975538.0
635,El Salvador,2004,life_ex,Life Expectancy,73.6,TREAS,201911.0
636,El Salvador,2004,life_ex,Life Expectancy,73.6,USAID,62736945.0
637,El Salvador,2004,obesitya,Obesity prevalence among adults (%),-16.0,AGR,16663384.0
638,El Salvador,2004,obesitya,Obesity prevalence among adults (%),-16.0,HHS,605734.0
639,El Salvador,2004,obesitya,Obesity prevalence among adults (%),-16.0,IAF,197019.0
640,El Salvador,2004,obesitya,Obesity prevalence among adults (%),-16.0,PC,2904832.0
641,El Salvador,2004,obesitya,Obesity prevalence among adults (%),-16.0,STATE,398473.0
642,El Salvador,2004,obesitya,Obesity prevalence among adults (%),-16.0,TDA,975538.0
643,El Salvador,2004,obesitya,Obesity prevalence among adults (%),-16.0,TREAS,201911.0
644,El Salvador,2004,obesitya,Obesity prevalence among adults (%),-16.0,USAID,62736945.0
645,El Salvador,2004,u5mr,Under-five mortality rate,-2.65,AGR,16663384.0
646,El Salvador,2004,u5mr,Under-five mortality rate,-2.65,HHS,605734.0
647,El Salvador,2004,u5mr,Under-five mortality rate,-2.65,IAF,197019.0
648,El Salvador,2004,u5mr,Under-five mortality rate,-2.65,PC,2904832.0
649,El Salvador,2004,u5mr,Under-five mortality rate,-2.65,STATE,398473.0
650,El Salvador,2004,u5mr,Under-five mortality rate,-2.65,TDA,975538.0
651,El Salvador,2004,u5mr,Under-five mortality rate,-2.65,TREAS,201911.0
652,El Salvador,2004,u5mr,Under-five mortality rate,-2.65,USAID,62736945.0
653,El Salvador,2005,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,AGR,5489943.0
654,El Salvador,2005,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,HHS,522466.0
655,El Salvador,2005,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,IAF,74934.0
656,El Salvador,2005,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,PC,2676941.0
657,El Salvador,2005,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,STATE,1299869.0
658,El Salvador,2005,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,TDA,8816.0
659,El Salvador,2005,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,TREAS,267764.0
660,El Salvador,2005,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,USAID,33423611.0
661,El Salvador,2005,life_ex,Life Expectancy,73.7,AGR,5489943.0
662,El Salvador,2005,life_ex,Life Expectancy,73.7,HHS,522466.0
663,El Salvador,2005,life_ex,Life Expectancy,73.7,IAF,74934.0
664,El Salvador,2005,life_ex,Life Expectancy,73.7,PC,2676941.0
665,El Salvador,2005,life_ex,Life Expectancy,73.7,STATE,1299869.0
666,El Salvador,2005,life_ex,Life Expectancy,73.7,TDA,8816.0
667,El Salvador,2005,life_ex,Life Expectancy,73.7,TREAS,267764.0
668,El Salvador,2005,life_ex,Life Expectancy,73.7,USAID,33423611.0
669,El Salvador,2005,obesitya,Obesity prevalence among adults (%),-16.5,AGR,5489943.0
670,El Salvador,2005,obesitya,Obesity prevalence among adults (%),-16.5,HHS,522466.0
671,El Salvador,2005,obesitya,Obesity prevalence among adults (%),-16.5,IAF,74934.0
672,El Salvador,2005,obesitya,Obesity prevalence among adults (%),-16.5,PC,2676941.0
673,El Salvador,2005,obesitya,Obesity prevalence among adults (%),-16.5,STATE,1299869.0
674,El Salvador,2005,obesitya,Obesity prevalence among adults (%),-16.5,TDA,8816.0
675,El Salvador,2005,obesitya,Obesity prevalence among adults (%),-16.5,TREAS,267764.0
676,El Salvador,2005,obesitya,Obesity prevalence among adults (%),-16.5,USAID,33423611.0
677,El Salvador,2005,u5mr,Under-five mortality rate,-2.55,AGR,5489943.0
678,El Salvador,2005,u5mr,Under-five mortality rate,-2.55,HHS,522466.0
679,El Salvador,2005,u5mr,Under-five mortality rate,-2.55,IAF,74934.0
680,El Salvador,2005,u5mr,Under-five mortality rate,-2.55,PC,2676941.0
681,El Salvador,2005,u5mr,Under-five mortality rate,-2.55,STATE,1299869.0
682,El Salvador,2005,u5mr,Under-five mortality rate,-2.55,TDA,8816.0
683,El Salvador,2005,u5mr,Under-five mortality rate,-2.55,TREAS,267764.0
684,El Salvador,2005,u5mr,Under-five mortality rate,-2.55,USAID,33423611.0
685,El Salvador,2006,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,AGR,1102257.0
686,El Salvador,2006,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,HHS,506265.0
687,El Salvador,2006,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,IAF,1982720.0
688,El Salvador,2006,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,MCC,2578745.0
689,El Salvador,2006,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,PC,3209733.0
690,El Salvador,2006,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,STATE,1601290.0
691,El Salvador,2006,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,TDA,319987.0
692,El Salvador,2006,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,TREAS,186443.0
693,El Salvador,2006,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,USAID,48501608.0
694,El Salvador,2006,life_ex,Life Expectancy,74.1,AGR,1102257.0
695,El Salvador,2006,life_ex,Life Expectancy,74.1,HHS,506265.0
696,El Salvador,2006,life_ex,Life Expectancy,74.1,IAF,1982720.0
697,El Salvador,2006,life_ex,Life Expectancy,74.1,MCC,2578745.0
698,El Salvador,2006,life_ex,Life Expectancy,74.1,PC,3209733.0
699,El Salvador,2006,life_ex,Life Expectancy,74.1,STATE,1601290.0
700,El Salvador,2006,life_ex,Life Expectancy,74.1,TDA,319987.0
701,El Salvador,2006,life_ex,Life Expectancy,74.1,TREAS,186443.0
702,El Salvador,2006,life_ex,Life Expectancy,74.1,USAID,48501608.0
703,El Salvador,2006,obesitya,Obesity prevalence among adults (%),-17.0,AGR,1102257.0
704,El Salvador,2006,obesitya,Obesity prevalence among adults (%),-17.0,HHS,506265.0
705,El Salvador,2006,obesitya,Obesity prevalence among adults (%),-17.0,IAF,1982720.0
706,El Salvador,2006,obesitya,Obesity prevalence among adults (%),-17.0,MCC,2578745.0
707,El Salvador,2006,obesitya,Obesity prevalence among adults (%),-17.0,PC,3209733.0
708,El Salvador,2006,obesitya,Obesity prevalence among adults (%),-17.0,STATE,1601290.0
709,El Salvador,2006,obesitya,Obesity prevalence among adults (%),-17.0,TDA,319987.0
710,El Salvador,2006,obesitya,Obesity prevalence among adults (%),-17.0,TREAS,186443.0
711,El Salvador,2006,obesitya,Obesity prevalence among adults (%),-17.0,USAID,48501608.0
712,El Salvador,2006,u5mr,Under-five mortality rate,-2.35,AGR,1102257.0
713,El Salvador,2006,u5mr,Under-five mortality rate,-2.35,HHS,506265.0
714,El Salvador,2006,u5mr,Under-five mortality rate,-2.35,IAF,1982720.0
715,El Salvador,2006,u5mr,Under-five mortality rate,-2.35,MCC,2578745.0
716,El Salvador,2006,u5mr,Under-five mortality rate,-2.35,PC,3209733.0
717,El Salvador,2006,u5mr,Under-five mortality rate,-2.35,STATE,1601290.0
718,El Salvador,2006,u5mr,Under-five mortality rate,-2.35,TDA,319987.0
719,El Salvador,2006,u5mr,Under-five mortality rate,-2.35,TREAS,186443.0
720,El Salvador,2006,u5mr,Under-five mortality rate,-2.35,USAID,48501608.0
721,El Salvador,2007,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,AGR,6604017.0
722,El Salvador,2007,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,DOL,1232134.0
723,El Salvador,2007,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,HHS,427304.0
724,El Salvador,2007,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,IAF,1187312.0
725,El Salvador,2007,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,MCC,570080736.0
726,El Salvador,2007,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,PC,3121724.0
727,El Salvador,2007,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,STATE,2047367.0
728,El Salvador,2007,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,TDA,41309.0
729,El Salvador,2007,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,TREAS,11705.0
730,El Salvador,2007,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,USAID,40897049.0
731,El Salvador,2007,life_ex,Life Expectancy,74.7,AGR,6604017.0
732,El Salvador,2007,life_ex,Life Expectancy,74.7,DOL,1232134.0
733,El Salvador,2007,life_ex,Life Expectancy,74.7,HHS,427304.0
734,El Salvador,2007,life_ex,Life Expectancy,74.7,IAF,1187312.0
735,El Salvador,2007,life_ex,Life Expectancy,74.7,MCC,570080736.0
736,El Salvador,2007,life_ex,Life Expectancy,74.7,PC,3121724.0
737,El Salvador,2007,life_ex,Life Expectancy,74.7,STATE,2047367.0
738,El Salvador,2007,life_ex,Life Expectancy,74.7,TDA,41309.0
739,El Salvador,2007,life_ex,Life Expectancy,74.7,TREAS,11705.0
740,El Salvador,2007,life_ex,Life Expectancy,74.7,USAID,40897049.0
741,El Salvador,2007,obesitya,Obesity prevalence among adults (%),-17.5,AGR,6604017.0
742,El Salvador,2007,obesitya,Obesity prevalence among adults (%),-17.5,DOL,1232134.0
743,El Salvador,2007,obesitya,Obesity prevalence among adults (%),-17.5,HHS,427304.0
744,El Salvador,2007,obesitya,Obesity prevalence among adults (%),-17.5,IAF,1187312.0
745,El Salvador,2007,obesitya,Obesity prevalence among adults (%),-17.5,MCC,570080736.0
746,El Salvador,2007,obesitya,Obesity prevalence among adults (%),-17.5,PC,3121724.0
747,El Salvador,2007,obesitya,Obesity prevalence among adults (%),-17.5,STATE,2047367.0
748,El Salvador,2007,obesitya,Obesity prevalence among adults (%),-17.5,TDA,41309.0
749,El Salvador,2007,obesitya,Obesity prevalence among adults (%),-17.5,TREAS,11705.0
750,El Salvador,2007,obesitya,Obesity prevalence among adults (%),-17.5,USAID,40897049.0
751,El Salvador,2007,u5mr,Under-five mortality rate,-2.25,AGR,6604017.0
752,El Salvador,2007,u5mr,Under-five mortality rate,-2.25,DOL,1232134.0
753,El Salvador,2007,u5mr,Under-five mortality rate,-2.25,HHS,427304.0
754,El Salvador,2007,u5mr,Under-five mortality rate,-2.25,IAF,1187312.0
755,El Salvador,2007,u5mr,Under-five mortality rate,-2.25,MCC,570080736.0
756,El Salvador,2007,u5mr,Under-five mortality rate,-2.25,PC,3121724.0
757,El Salvador,2007,u5mr,Under-five mortality rate,-2.25,STATE,2047367.0
758,El Salvador,2007,u5mr,Under-five mortality rate,-2.25,TDA,41309.0
759,El Salvador,2007,u5mr,Under-five mortality rate,-2.25,TREAS,11705.0
760,El Salvador,2007,u5mr,Under-five mortality rate,-2.25,USAID,40897049.0
761,El Salvador,2008,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,AGR,120715.0
762,El Salvador,2008,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,DOC,24143.0
763,El Salvador,2008,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,DOL,1134718.0
764,El Salvador,2008,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,HHS,428537.0
765,El Salvador,2008,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,IAF,1531447.0
766,El Salvador,2008,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,MCC,183742702.0
767,El Salvador,2008,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,PC,2984634.0
768,El Salvador,2008,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,STATE,17763229.0
769,El Salvador,2008,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,TDA,1533287.0
770,El Salvador,2008,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-4.0,USAID,50866045.0
771,El Salvador,2008,life_ex,Life Expectancy,74.1,AGR,120715.0
772,El Salvador,2008,life_ex,Life Expectancy,74.1,DOC,24143.0
773,El Salvador,2008,life_ex,Life Expectancy,74.1,DOL,1134718.0
774,El Salvador,2008,life_ex,Life Expectancy,74.1,HHS,428537.0
775,El Salvador,2008,life_ex,Life Expectancy,74.1,IAF,1531447.0
776,El Salvador,2008,life_ex,Life Expectancy,74.1,MCC,183742702.0
777,El Salvador,2008,life_ex,Life Expectancy,74.1,PC,2984634.0
778,El Salvador,2008,life_ex,Life Expectancy,74.1,STATE,17763229.0
779,El Salvador,2008,life_ex,Life Expectancy,74.1,TDA,1533287.0
780,El Salvador,2008,life_ex,Life Expectancy,74.1,USAID,50866045.0
781,El Salvador,2008,obesitya,Obesity prevalence among adults (%),-18.0,AGR,120715.0
782,El Salvador,2008,obesitya,Obesity prevalence among adults (%),-18.0,DOC,24143.0
783,El Salvador,2008,obesitya,Obesity prevalence among adults (%),-18.0,DOL,1134718.0
784,El Salvador,2008,obesitya,Obesity prevalence among adults (%),-18.0,HHS,428537.0
785,El Salvador,2008,obesitya,Obesity prevalence among adults (%),-18.0,IAF,1531447.0
786,El Salvador,2008,obesitya,Obesity prevalence among adults (%),-18.0,MCC,183742702.0
787,El Salvador,2008,obesitya,Obesity prevalence among adults (%),-18.0,PC,2984634.0
788,El Salvador,2008,obesitya,Obesity prevalence among adults (%),-18.0,STATE,17763229.0
789,El Salvador,2008,obesitya,Obesity prevalence among adults (%),-18.0,TDA,1533287.0
790,El Salvador,2008,obesitya,Obesity prevalence among adults (%),-18.0,USAID,50866045.0
791,El Salvador,2008,u5mr,Under-five mortality rate,-2.15,AGR,120715.0
792,El Salvador,2008,u5mr,Under-five mortality rate,-2.15,DOC,24143.0
793,El Salvador,2008,u5mr,Under-five mortality rate,-2.15,DOL,1134718.0
794,El Salvador,2008,u5mr,Under-five mortality rate,-2.15,HHS,428537.0
795,El Salvador,2008,u5mr,Under-five mortality rate,-2.15,IAF,1531447.0
796,El Salvador,2008,u5mr,Under-five mortality rate,-2.15,MCC,183742702.0
797,El Salvador,2008,u5mr,Under-five mortality rate,-2.15,PC,2984634.0
798,El Salvador,2008,u5mr,Under-five mortality rate,-2.15,STATE,17763229.0
799,El Salvador,2008,u5mr,Under-five mortality rate,-2.15,TDA,1533287.0
800,El Salvador,2008,u5mr,Under-five mortality rate,-2.15,USAID,50866045.0
801,El Salvador,2009,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-3.5,AGR,129754.0
802,El Salvador,2009,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-3.5,DOC,594458.0
803,El Salvador,2009,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-3.5,DOE,73720.0
804,El Salvador,2009,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-3.5,IAF,1426495.0
805,El Salvador,2009,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-3.5,MCC,117524665.0
806,El Salvador,2009,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-3.5,PC,3747464.0
807,El Salvador,2009,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-3.5,STATE,6764057.0
808,El Salvador,2009,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-3.5,USAID,31053495.0
809,El Salvador,2009,life_ex,Life Expectancy,75.2,AGR,129754.0
810,El Salvador,2009,life_ex,Life Expectancy,75.2,DOC,594458.0
811,El Salvador,2009,life_ex,Life Expectancy,75.2,DOE,73720.0
812,El Salvador,2009,life_ex,Life Expectancy,75.2,IAF,1426495.0
813,El Salvador,2009,life_ex,Life Expectancy,75.2,MCC,117524665.0
814,El Salvador,2009,life_ex,Life Expectancy,75.2,PC,3747464.0
815,El Salvador,2009,life_ex,Life Expectancy,75.2,STATE,6764057.0
816,El Salvador,2009,life_ex,Life Expectancy,75.2,USAID,31053495.0
817,El Salvador,2009,obesitya,Obesity prevalence among adults (%),-18.5,AGR,129754.0
818,El Salvador,2009,obesitya,Obesity prevalence among adults (%),-18.5,DOC,594458.0
819,El Salvador,2009,obesitya,Obesity prevalence among adults (%),-18.5,DOE,73720.0
820,El Salvador,2009,obesitya,Obesity prevalence among adults (%),-18.5,IAF,1426495.0
821,El Salvador,2009,obesitya,Obesity prevalence among adults (%),-18.5,MCC,117524665.0
822,El Salvador,2009,obesitya,Obesity prevalence among adults (%),-18.5,PC,3747464.0
823,El Salvador,2009,obesitya,Obesity prevalence among adults (%),-18.5,STATE,6764057.0
824,El Salvador,2009,obesitya,Obesity prevalence among adults (%),-18.5,USAID,31053495.0
825,El Salvador,2009,u5mr,Under-five mortality rate,-2.0,AGR,129754.0
826,El Salvador,2009,u5mr,Under-five mortality rate,-2.0,DOC,594458.0
827,El Salvador,2009,u5mr,Under-five mortality rate,-2.0,DOE,73720.0
828,El Salvador,2009,u5mr,Under-five mortality rate,-2.0,IAF,1426495.0
829,El Salvador,2009,u5mr,Under-five mortality rate,-2.0,MCC,117524665.0
830,El Salvador,2009,u5mr,Under-five mortality rate,-2.0,PC,3747464.0
831,El Salvador,2009,u5mr,Under-five mortality rate,-2.0,STATE,6764057.0
832,El Salvador,2009,u5mr,Under-five mortality rate,-2.0,USAID,31053495.0
833,El Salvador,2010,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-3.5,AGR,27311.0
834,El Salvador,2010,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-3.5,DOE,271806.0
835,El Salvador,2010,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-3.5,DOL,11832919.0
836,El Salvador,2010,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-3.5,HHS,114779.0
837,El Salvador,2010,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-3.5,IAF,1433647.0
838,El Salvador,2010,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-3.5,MCC,24753085.0
839,El Salvador,2010,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-3.5,PC,3067365.0
840,El Salvador,2010,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-3.5,STATE,11742975.0
841,El Salvador,2010,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-3.5,TREAS,559623.0
842,El Salvador,2010,alcohol,Total alcohol per capita consumption in adults aged 15+ (litres of pure alcohol),-3.5,USAID,36438375.0
843,El Salvador,2010,life_ex,Life Expectancy,75.1,AGR,27311.0
844,El Salvador,2010,life_ex,Life Expectancy,75.1,DOE,271806.0
845,El Salvador,2010,life_ex,Life Expectancy,75.1,DOL,11832919.0
846,El Salvador,2010,life_ex,Life Expectancy,75.1,HHS,114779.0
847,El Salvador,2010,life_ex,Life Expectancy,75.1,IAF,1433647.0
848,El Salvador,2010,life_ex,Life Expectancy,75.1,MCC,24753085.0
849,El Salvador,2010,life_ex,Life Expectancy,75.1,PC,3067365.0
850,El Salvador,2010,life_ex,Life Expectancy,75.1,STATE,11742975.0
851,El Salvador,2010,life_ex,Life Expectancy,75.1,TREAS,559623.0
852,El Salvador,2010,life_ex,Life Expectancy,75.1,USAID,36438375.0
853,El Salvador,2010,obesitya,Obesity prevalence among adults (%),-19.0,AGR,27311.0
854,El Salvador,2010,obesitya,Obesity prevalence among adults (%),-19.0,DOE,271806.0
855,El Salvador,2010,obesitya,Obesity prevalence among adults (%),-19.0,DOL,11832919.0
856,El Salvador,2010,obesitya,Obesity prevalence among adults (%),-19.0,HHS,114779.0
857,El Salvador,2010,obesitya,Obesity prevalence among adults (%),-19.0,IAF,1433647.0
858,El Salvador,2010,obesitya,Obesity prevalence among adults (%),-19.0,MCC,24753085.0
859,El Salvador,2010,obesitya,Obesity prevalence among adults (%),-19.0,PC,3067365.0
860,El Salvador,2010,obesitya,Obesity prevalence among adults (%),-19.0,STATE,11742975.0
